symbol,timeframe,tf_rule,sharpe,sortino,total_return_pct,max_drawdown_pct,alpha_pct,beta,win_rate,opt_m_var,opt_z_thresh,opt_window
GLW,1Min,1min,3.475645071521153,3.2240776493203156,76.27821298673032,-6.980396803858692,77.19182929996842,0.2964232554945044,0.5165374677002584,0.001,1.5,10
AMT,1Min,1min,3.463450274155057,3.096347772375039,21.403342636158442,-1.8415474297827485,21.48415787929499,0.02622054479216895,0.5185840707964602,0.001,1.0,10
GEV,1Min,1min,3.4559929428183342,3.365819398606445,39.16280493528321,-5.713019308342041,39.21725805021335,0.017667339522647266,0.5130461165048543,0.001,1.0,20
TTWO,5Min,5min,3.4552697166188246,3.4903267894057075,29.35222919533096,-2.8214547343701986,29.67845474959374,0.10584403914305328,0.5302547770700637,0.001,1.0,10
AXP,5Min,5min,3.444205659281434,3.552832098694229,24.740706142993197,-3.281752016261255,24.314968202668275,-0.13813088101656085,0.5357142857142857,0.001,1.0,20
LHX,1Min,1min,3.443067481792445,2.6288537444147875,34.0819015909168,-2.6123482603415713,34.09755616784754,0.005079135070119201,0.5211416490486258,0.01,1.5,20
EXC,5Min,5min,3.436327575686295,3.36440486020849,15.510053456310558,-1.7587884337116542,15.442738130135671,-0.02184049019299878,0.5733590733590733,0.001,1.5,10
WBD,5Min,5min,3.419106366680769,3.6599502935225066,12.18755618214149,-2.1844322994314576,12.13629725194786,-0.016630984737250918,0.5508474576271186,0.001,1.0,10
NKE,5Min,5min,3.4103140813965545,3.9651500129739765,21.907781322532927,-3.44382454356818,22.747703987299797,0.2725133155421383,0.5548003398470688,0.001,1.0,10
RTX,1Min,1min,3.387765248891348,3.1767596670812317,25.244865492721004,-4.112035561832097,25.290885558534477,0.014931232650774909,0.5262237762237763,0.001,1.0,10
FOX,5Min,5min,3.3862252214487594,3.5362722579768873,20.81778891554531,-2.1950753960679705,20.986194922838862,0.05463941066231077,0.5329218106995884,0.01,2.0,10
URI,1Min,1min,3.3839891184133277,2.642650548379674,35.90162939870747,-5.424696284767478,36.3436664210982,0.14341912608997884,0.522484756097561,0.001,1.0,10
LLY,1Min,1min,3.372958453360072,3.102837875409882,24.387211544791377,-3.2726531403602217,24.382103693077276,-0.0016572449634910675,0.5206537890044577,0.001,1.0,10
EXPD,5Min,5min,3.369604115788521,2.932292169589482,17.445175322855498,-2.0316183608376477,17.66138581475462,0.07014959885477136,0.5290322580645161,0.001,1.5,10
INTU,1Min,1min,3.364120704640783,2.754959219805668,41.68460726003895,-5.0327793714350655,41.783495419681735,0.032084311309286184,0.527898866608544,0.001,2.0,10
XOM,5Min,5min,3.3533975791436004,3.7544297700357148,18.74867768478987,-2.4371572493008498,18.3524239030506,-0.12856473147781072,0.5342333654773385,0.001,1.0,20
C,1Min,1min,3.350503283110544,2.670131837148827,32.547024708305905,-4.481481481481473,33.126931885116825,0.188151164492311,0.5219284603421462,0.001,1.0,10
NFLX,5Min,5min,3.3402423103710217,3.832928344639007,19.397742506012893,-2.187346955641445,20.294662551527374,0.29100614334201635,0.5380116959064327,0.001,1.0,10
D,1Min,1min,3.329571022966484,3.7271434095922036,16.21848926738838,-2.1165755544733678,16.199004753058485,-0.0063217601149505994,0.5114529914529915,0.01,1.5,10
NEE,5Min,5min,3.3291262490322535,3.4421827311136672,21.004430436503508,-2.9332470613608588,20.964560618988628,-0.012935781610388532,0.559322033898305,0.01,1.0,10
APO,1Min,1min,3.311388048539935,2.743855008453943,40.4981073421538,-6.681788417707953,40.7658850804758,0.08688061694195726,0.5179321486268175,0.001,1.0,10
TXN,1Min,1min,3.305917957487405,3.0024018105655936,28.60652244418125,-3.890424110130493,28.655874936553595,0.0160124400624239,0.5260967018892091,0.01,1.5,10
DDOG,5Min,5min,3.3000464451678653,2.4422003269217853,38.51535922636149,-3.0046605999592098,38.23423990090088,-0.0912093013533611,0.5486284289276808,0.001,2.0,20
UPS,1Min,1min,3.2975937754669493,2.898488611102386,24.747776748050555,-5.070554778619957,24.732542912705053,-0.004942625258929719,0.5221509318667888,0.001,1.0,10
LYB,1Min,1min,3.277808171365654,2.8070561659288074,56.05859017498271,-5.029184281913902,55.83847544736269,-0.0714163300260716,0.5159637366968861,0.001,1.5,20
DIS,5Min,5min,3.237847619137538,3.014826997881437,15.566608680143368,-2.177602339407865,15.840570101973459,0.08888691605229915,0.5469387755102041,0.001,1.0,20
